epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04376,1.46229,2.81331,1.81783,0.62236,0.86325,0.88748,0.61134,1.39394,1.34457,1.25466,0,0,0
2,3.94569,1.14062,3.03802,1.42972,0.5583,0.83333,0.87214,0.61048,1.41751,1.3626,1.26671,1.17822e-06,1.17822e-06,1.17822e-06
3,5.78655,1.52433,4.58742,1.79223,0.5672,0.83333,0.87216,0.61876,1.43627,1.40123,1.2785,2.33288e-06,2.33288e-06,2.33288e-06
4,7.74673,1.22768,2.88131,1.37372,0.54693,0.83932,0.87233,0.61173,1.44684,1.41993,1.28196,3.46397e-06,3.46397e-06,3.46397e-06
5,9.63645,1.30652,2.67163,1.58108,0.56477,0.83333,0.87229,0.60878,1.45941,1.44565,1.28898,4.5715e-06,4.5715e-06,4.5715e-06
6,11.4592,1.7873,4.49969,2.08385,0.88,0.56667,0.87219,0.60868,1.47475,1.49296,1.30232,5.65548e-06,5.65548e-06,5.65548e-06
7,13.3896,1.40284,2.11751,1.58031,0.87626,0.56667,0.8862,0.60582,1.49751,1.5238,1.3145,6.71588e-06,6.71588e-06,6.71588e-06
8,15.2295,1.3467,3.48912,1.68122,0.87365,0.56667,0.88781,0.58776,1.52097,1.58351,1.33971,7.75273e-06,7.75273e-06,7.75273e-06
9,17.058,1.22056,2.92175,1.46325,0.8671,0.56667,0.80535,0.54431,1.53929,1.63302,1.34935,8.76602e-06,8.76602e-06,8.76602e-06
10,19.0345,1.04083,3.345,1.55218,0.85394,0.56667,0.76659,0.56148,1.5498,1.69068,1.36506,9.75574e-06,9.75574e-06,9.75574e-06
11,20.8224,1.28065,2.83946,1.54167,0.84625,0.56747,0.74908,0.55326,1.55937,1.71941,1.36821,1.07219e-05,1.07219e-05,1.07219e-05
12,22.6024,1.04054,2.07479,1.40723,0.84016,0.57236,0.7501,0.54502,1.56084,1.74466,1.37121,1.16645e-05,1.16645e-05,1.16645e-05
13,24.4012,1.10754,2.59103,1.35153,0.83437,0.57621,0.75022,0.56171,1.55883,1.75653,1.3707,1.25835e-05,1.25835e-05,1.25835e-05
14,26.1691,1.33663,2.78124,1.72547,0.80139,0.58333,0.75021,0.56994,1.54852,1.77483,1.3651,1.3479e-05,1.3479e-05,1.3479e-05
15,28.0046,1.08382,2.1964,1.26701,0.78552,0.58333,0.7503,0.56917,1.53099,1.77771,1.35489,1.43509e-05,1.43509e-05,1.43509e-05
16,29.7455,1.11718,2.22584,1.52481,0.77243,0.58333,0.75029,0.57647,1.53131,1.79389,1.35596,1.51993e-05,1.51993e-05,1.51993e-05
17,31.5382,0.89083,2.04259,1.21909,0.78695,0.58333,0.7502,0.55977,1.52392,1.80467,1.35619,1.60241e-05,1.60241e-05,1.60241e-05
18,33.2891,1.28056,2.01567,1.51953,0.78695,0.58333,0.7502,0.55977,1.52392,1.80467,1.35619,1.68253e-05,1.68253e-05,1.68253e-05
19,35.0506,1.01006,1.96686,1.22039,0.80766,0.41667,0.75103,0.56001,1.53702,1.82806,1.36387,1.7603e-05,1.7603e-05,1.7603e-05
20,36.7617,1.04569,1.82176,1.30139,0.80766,0.41667,0.75103,0.56001,1.53702,1.82806,1.36387,1.83571e-05,1.83571e-05,1.83571e-05
