epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71238,2.77474,5.50382,2.75951,0.00324,0.01667,0.00095,0.00038,3.48991,6.82656,3.29826,0,0,0
2,3.71653,2.9376,5.81479,2.77727,0.16854,0.03333,0.00123,0.00037,3.72986,6.81307,3.28207,1.17822e-06,1.17822e-06,1.17822e-06
3,5.79082,3.05597,6.22984,2.90102,0.00043,0.05,0.00034,0.0001,3.54278,6.8196,2.98914,2.33288e-06,2.33288e-06,2.33288e-06
4,7.91527,2.80232,5.59471,2.60957,0.00029,0.03333,0.00022,3e-05,3.72191,7.04231,3.08775,3.46397e-06,3.46397e-06,3.46397e-06
5,10.071,2.619,5.53186,2.73637,0.00014,0.01667,0.0002,2e-05,3.54954,5.8984,3.05441,4.5715e-06,4.5715e-06,4.5715e-06
6,11.9971,3.15154,5.28753,3.01896,0,0,0,0,3.68972,5.78731,3.16882,5.65548e-06,5.65548e-06,5.65548e-06
7,13.9578,2.52055,5.72477,2.66959,0,0,0,0,3.59669,5.82503,3.23057,6.71588e-06,6.71588e-06,6.71588e-06
8,15.9573,2.88884,6.18776,2.72058,0,0,0,0,3.77982,5.69079,3.22495,7.75273e-06,7.75273e-06,7.75273e-06
9,17.9304,2.6167,5.30234,2.71063,0.00014,0.01667,0.0001,1e-05,3.68116,5.6238,3.20351,8.76602e-06,8.76602e-06,8.76602e-06
10,20.0974,2.89587,5.46619,2.84611,0.00014,0.01667,0.00011,1e-05,3.50326,5.43259,3.09528,9.75574e-06,9.75574e-06,9.75574e-06
11,22.2688,2.97397,5.5296,2.78707,0.00028,0.03333,0.00028,3e-05,3.48105,5.35225,3.11564,1.07219e-05,1.07219e-05,1.07219e-05
12,24.5968,2.83558,5.9171,2.60992,0.00014,0.01667,0.00067,7e-05,3.37677,5.30141,3.09493,1.16645e-05,1.16645e-05,1.16645e-05
13,26.4956,2.8126,5.1687,2.60787,0.00014,0.01667,0.00085,0.00017,3.29524,5.32336,3.06781,1.25835e-05,1.25835e-05,1.25835e-05
14,28.3925,3.3938,6.10523,3.13791,0.00014,0.01667,0.00085,0.00026,3.23088,5.25544,3.03948,1.3479e-05,1.3479e-05,1.3479e-05
15,30.3058,2.70607,5.41418,2.50329,0.00014,0.01667,0.00534,0.00056,3.23514,5.20502,3.03574,1.43509e-05,1.43509e-05,1.43509e-05
16,32.1922,2.7036,5.31073,2.59731,0.00014,0.01667,0.00534,0.00109,3.16901,5.10056,3.0237,1.51993e-05,1.51993e-05,1.51993e-05
17,34.0704,2.77372,5.50838,2.59971,0.00014,0.01667,0.00534,0.0016,3.11493,5.06788,3.00164,1.60241e-05,1.60241e-05,1.60241e-05
18,36.0358,2.73076,5.48143,2.74667,0.00014,0.01667,0.00534,0.0016,3.11493,5.06788,3.00164,1.68253e-05,1.68253e-05,1.68253e-05
19,38.0612,2.63928,5.08368,2.51599,0.00014,0.01667,0.00233,0.00119,3.07707,5.0207,3.03354,1.7603e-05,1.7603e-05,1.7603e-05
20,39.9916,2.56547,5.64833,2.54053,0.00014,0.01667,0.00233,0.00119,3.07707,5.0207,3.03354,1.83571e-05,1.83571e-05,1.83571e-05
21,41.9502,2.99124,5.78693,2.94551,0.00014,0.01667,0.0015,0.00105,2.96663,5.00369,3.05391,1.90876e-05,1.90876e-05,1.90876e-05
22,43.9067,2.92745,5.51714,2.76576,0.00014,0.01667,0.0015,0.00105,2.96663,5.00369,3.05391,1.97946e-05,1.97946e-05,1.97946e-05
23,45.7845,2.7054,5.32899,2.77195,0.00014,0.01667,0.00182,0.00146,2.97292,4.99483,3.06901,2.0478e-05,2.0478e-05,2.0478e-05
24,47.7219,3.25043,5.94154,3.0769,0.00014,0.01667,0.00182,0.00146,2.97292,4.99483,3.06901,2.11379e-05,2.11379e-05,2.11379e-05
25,49.6858,2.92352,5.42092,2.63642,0.00014,0.01667,0.00204,0.00127,2.94849,5.00887,3.0925,2.17741e-05,2.17741e-05,2.17741e-05
26,51.7177,2.77037,5.31439,2.71526,0.00014,0.01667,0.00204,0.00127,2.94849,5.00887,3.0925,2.23869e-05,2.23869e-05,2.23869e-05
